"HolderAddress","Balance","PendingBalanceUpdate"
"0x032b1a696aa4cb40f654b71b96460a3f8b9a7e53","2000","No"
"0x032be5bb10418876d5a4a8938c75db4d6525cd07","24000","No"
"0x032c7e39b65c733ad8e8b23e1f9fac9fe8489428","17000","No"
"0x032e1356746340a2705c594d2ae40e3fecd7ecfe","100000","No"
"0x0334ae4d3a927a45a4b11cb281fce5a2b2eaf244","1000","No"
"0x03386b763d2318c7a6d78b87ece0c510ccb9f349","43000","No"
"0x03423b4ffb5b75b12081c8e0ae81ecb703e3a12a","1000","No"
"0x034f02aca9f8f1281044fb27f49b28e75c8bb391","51000","No"
"0x03509b6a6374a0cda9853bbc51a335d0c7189aff","2000","No"
"0x0356e97b39e5166ee35c4af8d71ec4464d587740","8000","No"
"0x0369098915a6bcd0c4181ca96b5179ca15b69779","1000","No"
"0x036effc9370794e78fba812fa7097f1fad5846b5","1000","No"
"0x037705b10223feef382fc3b728a9fce102a52b51","36000","No"
"0x037d54e0a9fccaa2e41efd7b727258a46b5dbbdf","1000","No"
"0x037e8b402b70e3287dbd6e15ee66f8fea50f858f","1000","No"
"0x03827d8e852d876deef8278ccab084d6bab27e57","1000","No"
"0x038402ce4a397e08c216acc662683c8b07218258","36124.7290077251","No"
"0x0386ae271c5f1d7603d66e3d1bcc84621abcf1b0","12000","No"
"0x03885c8832e39f350862b7fd62fbb0cf76516cd0","1000","No"
"0x039d6c34c7a8172090f5d2534c19b4b936c810be","9000","No"
"0x03a098f681c0818bf1c24af7f438278a56155077","1000","No"
"0x03a4fc9acfcf9b4b325d19d7580a0787dca69472","5000","No"
"0x03a9faa7076d1d390f35ef8c6337627b4fd5c0ca","2000","No"
"0x03accc05b02c7df6f36064e016fc5cf650260ab3","10000","No"
"0x03b03d72d396bdc124b9ca5aae9b7ebf6ea95325","140000.000000003","No"
"0x03b0d4c9c8c4e6dd8d286721b76e1005d09bb93a","9000","No"
"0x03b1b74e3f915d12d5d7304c5e22b86d3f3a0038","1000","No"
