"HolderAddress","Balance","PendingBalanceUpdate"
"0x0771cdd36d4d27d2c1684e4cd2fba7395679f6ef","5000","No"
"0x078b2ce656f3603f1e7eede004b818d0353f447f","163400","No"
"0x07b192b229cbb55d3c165dfb5b8b13e6202b8acc","15000","No"
"0x07bb0c1f408b450b18e1b0ea3e2c88acdc5514ee","1000","No"
"0x07c9b04fd0083445548bdc8ed88c019c0eb951e0","1000","No"
"0x07d36239db847659b2634483e6380fa99cbec719","1000","No"
"0x07d9b6f7f61d12d8075a795d0cbe60b91ac296da","38000","No"
"0x07dcfae70bb37d19f5b07df11a607ee97781cb1e","39000","No"
"0x07e159338393dc22f77557470b5660b0f695d037","50000","No"
"0x0800aeaf8fe98e5a510c7083e98979747f1b1417","3000","No"
"0x083617b5cc88332ad8ea5e911a6da024b369be7f","1000","No"
"0x0841904c1a03d1ef81015081a099baf451ff09ef","6000","No"
"0x08452a18b1931a45ff5a4efb42f697d207ee643f","3000","No"
"0x0849794e946ab01c4d6c2930d178525dbb5c51b8","3000","No"
"0x084a749e42312540062817eeec9b9bf9269ded20","25000","No"
"0x085a8a1a3e27312dfbe01d3c11dd964406b47ca6","28000","No"
"0x0860e82785a84acacea6d2d7bf0a17724b44d0ad","1000","No"
"0x087dc638e49ccf9a25da1d40d1b2dad33f4406ce","702.753531699149","No"
"0x0881e4c7b81dc36fc4fc1c82ce0e97bbb0134f93","14000","No"
"0x08a05404231bbb3bc0b9deaed3effdf026977fec","1000","No"
"0x08f5966cc9f7a778568c497abe3efba438d6d009","11000","No"
"0x09006febc078552b7c8d13109881a67b959ef9c3","1000","No"
"0x0912b732fe0cf2c25285393bf0930cac4eb3a134","40608.038638607","No"
"0x092895815b98b90fd69c8303e3f8a96163cc47bd","11000","No"
"0x09338fae1467213d64ccf15b87c611742298a3f0","1000","No"
"0x094c4bd59a508fd259341a5190b9d91c9e5f0610","11000","No"
"0x09587c2d7c9c73c8eade568d1ef52df57a4f1078","19000","No"
"0x095ef09181e53337558eb0e55fe7ec06e964aeb1","18000","No"
"0x09600cb153a34402fe44e0c78bcd3ab9899a1615","1000","No"
"0x096502befac44b2269d0ba824f61bd7304037a19","30136.1706079257","No"
"0x09689dbbb439f6cb8c4d01cb256a4da47fae8c11","1000","No"
"0x096bd720b50944f7350e4fdaef990da815b2cb7a","10000","No"
"0x097d4a4e162edad8e9591b512c5ce546944f8840","3000","No"
"0x098dd2384260db1e895b8cc9c8c96a38a706fc25","1000","No"
"0x0996f21c959fda3b04966ee68148992e4732b445","50065","No"
"0x099858cb34c7cb8d1f4a5f2d536484164993eb93","2000","No"
"0x09a138353e4674231ba1d147e4f2e4cbd0be9ab9","1000","No"
"0x09a4687adb440c78ab93283b03c46381f2e4cbf3","1000","No"
"0x09af9e2dbd41d385050078bbc701af1dafec779c","1000","No"
"0x09b51014842c1ca76c4a3634957757d4d5e7a5a1","5000","No"
"0x09c6230e43acdf4aa89ccab18c5cfd3f780459b7","10000","No"
"0x09e1339e4b1e369615341c50f77768c0e3e6ce1e","26000","No"
"0x0a0c6e3c51cc1b9e7193447d24e8b4f8afad6268","14000","No"
"0x0a0cf87555ddea56496f7e7ae5a7ccf7667386c7","19000","No"
"0x0a1d0e433da6810cd86f3ffd82c3f26c5516ed52","50000","No"
"0x0a256324b1d9fb59d4c490d93c8d5555f2fe4c7a","1000","No"
"0x0a401bc04f2662af3dfbe1a35a0476427fd699d0","13000","No"
"0x0a5f0e623749a1fa866c8427f96f2b3257923b11","3000","No"
"0x0a6ddb6b66d0ba232526c2e99638eae7bb23fcf1","13000","No"
"0x0a80afe5acb2660328d74cf662036f75d7429516","34750","No"
"0x0a8b7d88a92a88a9292e1cac5f6f24967d7fad22","1000","No"
"0x0a9319f442e726a5a1e6c79b477385495c50499e","1000","No"
"0x0a9aa45a800b806dae3512810758e45e476f6d9f","30000","No"
"0x0aa1a89bf3040fb7a271c2ffa5d97a293bb580d2","2000","No"
"0x0aa3dceb1e65b8f7d3a58bed68054b1c81585002","6000","No"
"0x0ab8ba071f9030792f2a386ca478e51d5b41c76d","13000","No"
"0x0ac47a0b0f81fccbfb40aa60e1d051cf3a59ef4e","3000","No"
"0x0ac4dd0d43a587b5f44afd3c4e47ce49a5713292","2000","No"
"0x0ad19ed94d738c1fb73ff65cb5cd7ad0539f033a","17000","No"
"0x0ad2c4bbb8c5cfed40dbddfd06976fded1f1478b","2000","No"
"0x0ad5db5e17e395b714620d70016875e40312c3d8","2000","No"
"0x0adc0d7b17a4da96beb575770c5258a542901023","42000","No"
"0x0ae7cfe9354d7c41772b6465659f5866ba16012e","50000","No"
"0x0af0b30f1e178c68641e81b2ea78380de6dd8e16","6000","No"
"0x0b037e59f02d809f49d568f751f445dc930e0442","1000","No"
"0x0b0664235f9bf5cc4433ea93d442be423ebbd6e7","6000","No"
"0x0b0ac3f09ae5a936c269c2dfd209796a1eaa423f","50000","No"
"0x0b43cecc67661da20b04064638dfb5d0db3bc76b","5000","No"
"0x0b56cb5d1b516e49174cd530d4acf369eb47df0a","6000","No"
"0x0b620b22a96f75392349931d4e756a57efb913be","1000","No"
"0x0b652eff5070c4c2251a3309ef0f90cee17161f2","13000","No"
"0x0b672c6728abb14db770fbb0dc56e92d61badee3","62320","No"
"0x0b6e79ba994cf84969bc73104818229612526dae","50000","No"
"0x0b7afb9b1f20d326426bbd4d4536eeaae4d189b3","27000","No"
"0x0b8879e3abdb4e62fdf3f2dcc0dcd970a0c12617","2000","No"
"0x0ba25824f5d34fe00aae97b5ffe970e8c2bc7aa8","4000","No"
"0x0bb99ed2e35762961bc4ec9d861908bf3acdbe06","105.741436115103","No"
"0x0bbeac9ef06363831de0b76c1c4d7ce003000a2a","96000","No"
"0x0bceec5149109ed7a8435c189846a4fbb3544696","50000","No"
"0x0bdc3a65e6222c80be493039eeeac861568417fc","2000","No"
"0x0bdddca700de3acc63c910ed59f280cde4f121f2","3000","No"
"0x0bdf425c2bc10d4791ae8e3c89cc212d39f4090e","10000","No"
"0x0c2a381c259547d81278a9b0a0dc8414110a1a91","10000","No"
"0x0c38f4603517aea47ba97be1ec779dcc722c93ea","210357.758322874","No"
"0x0c449c6f0961dcd92f26f8a206c150b99eac36d0","3000","No"
"0x0c46178aaed34539289362349107537ff8e10526","128581.183400766","No"
"0x0c56dbc50c3d30ed137f58b731ccf1fc3ac6cf8c","50000","No"
"0x0c7330f30b5e374f7e66cb737f32acfcd51aa1cd","7000","No"
"0x0c78de29710ac96027c282d6523c799d507af29c","7000","No"
"0x0c93a05e0badd90546c18407023467cc0de6e113","5000","No"
"0x0cac11a7d29ab8c87d8fedb9cc736146f4fe8e84","3000","No"
"0x0cbdb96e937ca0e60f3d88923d9544b52fef0aec","15855.8964402438","No"
"0x0cc7d4edeb816736fb97a263b7233848924c499c","1000","No"
"0x0cc7ee5f601be8fff4782be5b790dad19460c7e3","35000","No"
"0x0cef7feff37208e1295ac6537445a9b5bc566fd5","1000","No"
"0x0cf04a8f257a50a8d5dbf00540082af7015fc8dd","7000","No"
"0x0d286a583c983ca01a9d8a9c0a851be8f2668ee8","1000","No"
"0x0d372d5042ca4b74dd04d5aa741993bc14c586cf","2000","No"
"0x0d4565bb1422ad93f41e5b315e5fb69a705e3f6f","1000","No"
"0x0d4e1d72b857ae497c9f1122e382102923eca683","50000","No"
"0x0d4f4c76b7fba3d037b6e5e9dd5cd37cccddfff8","37000","No"
"0x0d5bb4942a5992334707626dddadc9f260d15808","50000","No"
"0x0d6893405b89d2648a10d555ee1649ea840fbc64","4000","No"
"0x0d75b149f6cd0209bf3ca5f59ad6c7e8bc515fa5","1000","No"
"0x0d76ec4bf4dfcd716facb53b2bc680e524fc2108","2000","No"
"0x0d82fc6b3c98562678e6467e3c0e4966c55c9906","5000","No"
"0x0d8c9068fdb707da13c308f3e8dce2228b6d3f18","7000","No"
"0x0d95959cb56544cfea4a8ca2e11880e04a13f59b","3000","No"
"0x0da1b3a30c4133b38c065857897d3cf380e1d1c6","9000","No"
"0x0da41a73b8877f7ab00bbbb1dae0e4b4f8823794","50000","No"
"0x0da7aba129dd04f445f8f2dea4d33b387687cbb9","3000","No"
"0x0db7c1d09fcc3e7610803e6c3b32b9cd6b940236","1000","No"
"0x0db93f0a19b55c9d35c02d7de2b7a79b1120df5e","25625.1264578822","No"
"0x0dc58822bde53b2acc688742752047e82a0ac689","12000","No"
"0x0dc69f398a6c1b6d1777ff4be17cdb97ca7e5786","1000","No"
"0x0de0c29c82656802874abe625b49ec0bf4fd43aa","6000","No"
"0x0dece7f3284f44c26f550659bc36a43f79cf4d3d","4000","No"
"0x0dede2675eacb6ec94cd90749e348506a723f17d","50000","No"
"0x0df2ffe0a9c5683dd675aa5f9703282baecc6225","32000","No"
"0x0dfaea0af75804b308d80ba8c9e998d87d6c6006","1000","No"
"0x0e092b0feccd7e6c9d2ba9bbcce5bcd8bf4febc1","9000","No"
"0x0e18dc61d688c283c46b69f8355aa45c9cad71b3","16000","No"
"0x0e3187dc03ebda12bf43e1f8dd6cbca507a66f43","1000","No"
"0x0e466ff9a9d26f4971c9e300f583b64e42fef5bb","6000","No"
"0x0e484f4d0c7d245e329a93f29487e2e33158bf13","21000","No"
"0x0e4b9e63d38d7471d7e946e182556671ac245575","111060.32","No"
"0x0e5226cd405f68b5630ffe840e634dd155127ddd","40000","No"
"0x0e65523a68be01d4fb838c856527eac5e2ad9c44","2000","No"
"0x0e734cc2a26a562e77f80323b69e613f64fa875f","1000","No"
"0x0e74da674bf7ebe688ab4c30391ede2f1a2b36af","2000","No"
"0x0e78541b1df01efb5e60184202a38eb83c257d43","7000","No"
"0x0e7a924d990f543c9810efee6182289fc7bd091f","5000","No"
"0x0e8b8c43d5587b13db49ab4b5f0528d81f435bbc","14000","No"
"0x0ea75c57a33216ae154c3f9292ed58873a51b6b6","2000","No"
"0x0eaf634216de175a9225913650b0399f591b2378","1000","No"
"0x0ebb0dec0775ad0b7353f5c5f6fa2a991cb12614","1000","No"
"0x0ed74413f12cc60925de312225717d8cccf3b1c5","5000","No"
"0x0edb6b423a51e340ea1f661ce4ab45fdbc907801","3000","No"
"0x0ee48207694b1945ee4fec7420c29dfff42d3737","16000","No"
"0x0eee341ab547a55407bcf0176728ee7854aa37e8","2000","No"
"0x0ef51c5054aa9cdb87d7382a424a80630c9bbc34","2000","No"
"0x0ef6c2e3e686c7b4c8517d159cfd5efa3b1fdfd1","2000","No"
"0x0f13e8cfee1f1f5f072af4cc0f4fc4723f530e76","23000","No"
"0x0f14d4fd4f10a4734bd24e592f11ce46ccfa56dc","1000","No"
"0x0f39a234676a145a1a944c6666b500ac8a16d74f","1000","No"
"0x0f3d639c9a90659b72eb182df5143a36e6fc6684","1000","No"
"0x0f3f9219c74bafad627531a75e239d0e029690e4","12000","No"
"0x0f4e42c64f28ea48e212ee65328a41af16e504ec","51900","No"
"0x0f6759d49520b38020efac5b92396c41c2abb159","1000","No"
"0x0f802a18009f148f7e4df792af4a4ce6ea1fdc18","22000","No"
"0x0f8ef50eeb712be5a28eab03f1d2a0f36d13bf86","1000","No"
"0x0f931d42f8c7ec96ad05c1c90d4f8e4b50f828d6","10000","No"
"0x0f97eaeac417548f5c4c261bc300240d863a8c75","3000","No"
"0x0fa8ffac36ff7522eee6639481056c18746776ae","4000","No"
"0x0faf364427dbf753306999ad67d08ed6b3333333","43000","No"
"0x0fb4076ff31af8dea7d75f17316574dee08f628b","1000","No"
"0x0fbeac4a830084c585efa504567b652b4aaf3a14","1000","No"
"0x0fbedd6ce63a7c3a113624fe7748d093635ce1ff","6000","No"
"0x0fc9e86eca2eff7cd9eb10acde74fdec24436448","1000","No"
"0x0fcab00173bb82d3329b0e9ac244e94d6de06085","15000","No"
